feature,coefficient,abs_coefficient
categorical__location_norm_Nhật Bản,1.4187487829792205,1.4187487829792205
categorical__seniority_intern,-1.032531697102601,1.032531697102601
categorical__location_norm_Gia Lai,-0.7382339402551402,0.7382339402551402
categorical__location_norm_Bắc Ninh,0.4911086215265108,0.4911086215265108
categorical__location_norm_Tây Ninh,-0.3919783819544379,0.3919783819544379
categorical__location_norm_Cần Thơ,-0.3820811482403186,0.3820811482403186
categorical__seniority_lead,0.37823267894421125,0.37823267894421125
skill__skill__php,0.3545062589116817,0.3545062589116817
categorical__seniority_senior,0.34615097955139307,0.34615097955139307
skill__skill__cloud,-0.3360866426825399,0.3360866426825399
categorical__location_norm_Khánh Hòa,-0.3156888954375849,0.3156888954375849
categorical__location_norm_Thanh Hóa,0.2623735758727418,0.2623735758727418
skill__skill__agile,-0.2575406714687128,0.2575406714687128
categorical__location_norm_Thành phố khác,-0.22957390849627018,0.22957390849627018
categorical__seniority_middle,0.2169561433739563,0.2169561433739563
skill__skill__english,0.21399263751058192,0.21399263751058192
skill__skill__aws,0.2070753658984591,0.2070753658984591
skill__skill__tester,-0.20242726492481922,0.20242726492481922
categorical__source_itviec,0.1767794407663634,0.1767794407663634
categorical__source_topcv,-0.17677944076636054,0.17677944076636054
numeric__experience_min,0.16375863307018912,0.16375863307018912
skill__skill__c_sharp,0.1560121019336218,0.1560121019336218
skill__skill__giao_tiep,0.14342713972429383,0.14342713972429383
skill__skill__qa,0.1341865888229905,0.1341865888229905
skill__skill__typescript,0.13059218389892252,0.13059218389892252
skill__skill__kubernetes,0.12580902174371045,0.12580902174371045
categorical__work_mode_remote,0.12472470519863608,0.12472470519863608
skill__skill__mysql,-0.12181048379646928,0.12181048379646928
skill__skill__go,0.11676886900165177,0.11676886900165177
skill__skill__javascript,-0.11642523846814029,0.11642523846814029
skill__skill__mongodb,0.11348468419702776,0.11348468419702776
categorical__location_norm_Đồng Nai,-0.11217587716701538,0.11217587716701538
skill__skill__postgresql,0.0991441930914021,0.0991441930914021
categorical__work_mode_onsite,-0.07756433259720652,0.07756433259720652
categorical__location_norm_Hải Phòng,-0.07442447047991924,0.07442447047991924
skill__skill__node_js,-0.07346431023883748,0.07346431023883748
categorical__location_norm_Hưng Yên,0.07252315086403022,0.07252315086403022
skill__skill__ai,0.07252095602558539,0.07252095602558539
skill__skill__angular,-0.06668217174600782,0.06668217174600782
categorical__location_norm_Da Nang,-0.06603325924668893,0.06603325924668893
categorical__location_norm_Ha Noi,0.06475292490823212,0.06475292490823212
skill__skill__sql,0.06252150716011083,0.06252150716011083
categorical__seniority_junior,0.06243572158129512,0.06243572158129512
skill__skill__gcp,0.054329264928704546,0.054329264928704546
categorical__work_mode_hybrid,-0.04716037260143059,0.04716037260143059
numeric__skill_count,-0.04665553151166729,0.04665553151166729
skill__skill__net,-0.04534513335934126,0.04534513335934126
skill__skill__react,-0.04272514573826691,0.04272514573826691
skill__skill__python,0.03863044939823777,0.03863044939823777
skill__skill__redis,0.03862889749674975,0.03862889749674975
skill__skill__docker,0.03385109699549155,0.03385109699549155
skill__skill__api,-0.03003702158863375,0.03003702158863375
skill__skill__devops,-0.029416463894881506,0.029416463894881506
categorical__seniority_Unknown,0.02875617365174732,0.02875617365174732
skill__skill__azure,-0.018283192511613977,0.018283192511613977
skill__skill__java,0.014445101301785834,0.014445101301785834
numeric__posted_age_days,0.011258415852591297,0.011258415852591297
categorical__location_norm_Ho Chi Minh,0.0006828251266409735,0.0006828251266409735
