feature,coefficient,abs_coefficient
categorical__location_norm_Gia Lai,-1.7532375476760649,1.7532375476760649
categorical__location_norm_Tây Ninh,-1.3738138144719274,1.3738138144719274
categorical__location_norm_Khánh Hòa,-1.2771110156581997,1.2771110156581997
categorical__location_norm_Thành phố khác,-1.146220711070283,1.146220711070283
categorical__seniority_intern,-1.0945686539546884,1.0945686539546884
categorical__location_norm_Hải Phòng,-1.073468653624596,1.073468653624596
categorical__location_norm_Da Nang,-1.0664762193995059,1.0664762193995059
categorical__location_norm_Ho Chi Minh,-0.9699995708491975,0.9699995708491975
categorical__location_norm_Ha Noi,-0.9585938676782626,0.9585938676782626
categorical__location_norm_Hưng Yên,-0.9585457676279231,0.9585457676279231
categorical__location_norm_Ninh Bình,-0.8486644894552005,0.8486644894552005
categorical__location_norm_Thanh Hóa,-0.7357231184792733,0.7357231184792733
categorical__location_norm_Đồng Nai,-0.684586089110985,0.684586089110985
categorical__location_norm_Nhật Bản,0.4194061975385654,0.4194061975385654
skill__skill__php,0.39063098888566894,0.39063098888566894
categorical__seniority_lead,0.33846907636444523,0.33846907636444523
categorical__seniority_senior,0.3253086959198044,0.3253086959198044
categorical__source_topcv,-0.3197729868929833,0.3197729868929833
skill__skill__agile,-0.24706455782826658,0.24706455782826658
skill__skill__giao_tiep,0.23360619936145,0.23360619936145
skill__skill__c_sharp,0.22963219016147474,0.22963219016147474
skill__skill__english,0.2243533479116186,0.2243533479116186
skill__skill__tester,-0.1884428694086958,0.1884428694086958
categorical__work_mode_remote,0.1853164069647546,0.1853164069647546
categorical__location_norm_Nước Ngoài,0.18510519692139038,0.18510519692139038
categorical__seniority_middle,0.18411623708869185,0.18411623708869185
skill__skill__mysql,-0.17217614722095653,0.17217614722095653
numeric__experience_min,0.16563277464127968,0.16563277464127968
skill__skill__aws,0.15500572361928833,0.15500572361928833
skill__skill__angular,-0.15087159542443285,0.15087159542443285
skill__skill__mongodb,0.1388388278883238,0.1388388278883238
skill__skill__gcp,0.13472070217626192,0.13472070217626192
skill__skill__node_js,-0.12442177949874933,0.12442177949874933
skill__skill__cloud,-0.12418676159061948,0.12418676159061948
skill__skill__kubernetes,0.1199251492521769,0.1199251492521769
skill__skill__postgresql,0.11742982348396636,0.11742982348396636
skill__skill__javascript,-0.11241103290018217,0.11241103290018217
skill__skill__docker,0.11237067603435547,0.11237067603435547
skill__skill__sql,0.09873544804328771,0.09873544804328771
skill__skill__azure,-0.09751760808125914,0.09751760808125914
skill__skill__qa,0.09610775812198208,0.09610775812198208
skill__skill__typescript,0.09459367272874608,0.09459367272874608
skill__skill__devops,-0.07111094743059843,0.07111094743059843
skill__skill__go,0.07009700844003408,0.07009700844003408
skill__skill__python,0.06108382704531101,0.06108382704531101
numeric__skill_count,-0.05682576871738587,0.05682576871738587
skill__skill__net,-0.051247684279924766,0.051247684279924766
categorical__work_mode_onsite,-0.048267713810931756,0.048267713810931756
skill__skill__api,-0.03818446905755879,0.03818446905755879
categorical__seniority_junior,0.03216434842522853,0.03216434842522853
skill__skill__java,0.02714554601576802,0.02714554601576802
skill__skill__ai,0.024777537978144082,0.024777537978144082
numeric__posted_age_days,0.023795389695670632,0.023795389695670632
skill__skill__redis,0.02319149833230122,0.02319149833230122
skill__skill__react,0.005717580419419943,0.005717580419419943
