week_start,source,skill,job_count
2026-05-25,itviec,AI,2
2026-05-25,itviec,AWS,2
2026-05-25,itviec,Automation Test,1
2026-05-25,itviec,Azure,2
2026-05-25,itviec,C++,1
2026-05-25,itviec,Cloud,2
2026-05-25,itviec,Data Engineer,1
2026-05-25,itviec,Database,1
2026-05-25,itviec,DevOps,1
2026-05-25,itviec,Docker,1
2026-05-25,itviec,English,1
2026-05-25,itviec,FastAPI,1
2026-05-25,itviec,GCP,2
2026-05-25,itviec,Go,1
2026-05-25,itviec,JavaScript,1
2026-05-25,itviec,Kubernetes,1
2026-05-25,itviec,LLM,1
2026-05-25,itviec,MLOps,1
2026-05-25,itviec,Machine Learning,1
2026-05-25,itviec,Python,4
2026-05-25,itviec,React,1
2026-05-25,itviec,Robot Framework,1
2026-05-25,itviec,SQL,2
2026-05-25,itviec,Tester,1
2026-05-25,itviec,TypeScript,1
2026-05-25,topcv,Kỹ Năng Triển Khai Phần Mềm,1
2026-05-25,topcv,Kỹ năng giao tiếp,1
2026-05-25,topcv,Kỹ năng giải quyết vấn đề,1
2026-05-25,topcv,Kỹ năng làm việc nhóm,1
2026-06-01,itviec,.NET,1
2026-06-01,itviec,AI,5
2026-06-01,itviec,API,1
2026-06-01,itviec,AWS,8
2026-06-01,itviec,Angular,1
2026-06-01,itviec,Apache Airflow,1
2026-06-01,itviec,Automation Test,1
2026-06-01,itviec,Azure,5
2026-06-01,itviec,C#,1
2026-06-01,itviec,CI/CD,1
2026-06-01,itviec,Cloud,2
2026-06-01,itviec,DBT,1
2026-06-01,itviec,Data Analysis,1
2026-06-01,itviec,Data Engineer,3
2026-06-01,itviec,Data Science,2
2026-06-01,itviec,Data Warehousing,1
2026-06-01,itviec,Data modeling,1
2026-06-01,itviec,Database,2
2026-06-01,itviec,DevOps,2
2026-06-01,itviec,Docker,5
2026-06-01,itviec,ELT,2
2026-06-01,itviec,Fresher Accepted,1
2026-06-01,itviec,Fullstack,1
2026-06-01,itviec,GCP,3
2026-06-01,itviec,Git,1
2026-06-01,itviec,Go,1
2026-06-01,itviec,Google BigQuery,1
2026-06-01,itviec,Java,3
2026-06-01,itviec,JavaScript,3
2026-06-01,itviec,Kubernetes,4
2026-06-01,itviec,LLM,1
2026-06-01,itviec,Leadership,1
2026-06-01,itviec,Linux,1
2026-06-01,itviec,Machine Learning,2
2026-06-01,itviec,MongoDB,1
2026-06-01,itviec,MySQL,2
2026-06-01,itviec,NextJS,1
2026-06-01,itviec,Node.js,3
2026-06-01,itviec,PostgreSQL,2
2026-06-01,itviec,Prompt Engineering,1
2026-06-01,itviec,Python,12
2026-06-01,itviec,QA QC,1
2026-06-01,itviec,React,3
2026-06-01,itviec,Robot Framework,1
2026-06-01,itviec,SQL,7
2026-06-01,itviec,Selenium,1
2026-06-01,itviec,Spark,1
2026-06-01,itviec,System Admin,1
2026-06-01,itviec,Tableau,1
2026-06-01,itviec,Terraform,1
2026-06-01,itviec,Tester,1
2026-06-01,itviec,TypeScript,2
2026-06-01,itviec,Vue,2
2026-06-01,topcv,(unknown),2
2026-06-01,topcv,AI solutions,1
2026-06-01,topcv,AMPQ,1
2026-06-01,topcv,AWS,1
2026-06-01,topcv,Agile,1
2026-06-01,topcv,Artificial Intelligence,1
2026-06-01,topcv,B2B Sales,1
2026-06-01,topcv,Bán Hàng,1
2026-06-01,topcv,C#,1
2026-06-01,topcv,Devops,1
2026-06-01,topcv,Docker,1
2026-06-01,topcv,Enterprise sales,1
2026-06-01,topcv,Fast API,1
2026-06-01,topcv,Figma,1
2026-06-01,topcv,Gamification,1
2026-06-01,topcv,Giao tiếp tốt,1
2026-06-01,topcv,Git,1
2026-06-01,topcv,Giải pháp B2B,1
2026-06-01,topcv,Google Cloud Platform,1
2026-06-01,topcv,IT Solution,1
2026-06-01,topcv,Javascript,1
2026-06-01,topcv,Kubernetes,1
2026-06-01,topcv,Kỹ Năng Phân Tích Yêu Cầu,1
2026-06-01,topcv,Linux,1
2026-06-01,topcv,MySQL,1
2026-06-01,topcv,Nestjs,1
2026-06-01,topcv,Node.js,1
2026-06-01,topcv,Phần mềm AI,1
2026-06-01,topcv,PostgresSQL,1
2026-06-01,topcv,Pubsub,1
2026-06-01,topcv,Python,1
2026-06-01,topcv,Quản Lý Dự Án,1
2026-06-01,topcv,Quản Lý Rủi Ro,1
2026-06-01,topcv,Quản Lý Sản Phẩm,1
2026-06-01,topcv,Quản Lý Tiến Độ,1
2026-06-01,topcv,RPC,1
2026-06-01,topcv,SaaS,1
2026-06-01,topcv,Thuyết trình,1
2026-06-01,topcv,UI/UX,1
2026-06-01,topcv,Visio,1
2026-06-01,topcv,Xây Dựng Kế Hoạch Sản Phẩm,1
2026-06-01,topcv,azure,1
2026-06-01,topcv,phân tích yêu cầu,1
2026-06-01,topcv,sales B2G,1
2026-06-01,topcv,thầu,1
2026-06-01,topcv,Đàm phán,1
2026-06-08,itviec,.NET,1
2026-06-08,itviec,AI,5
2026-06-08,itviec,API,1
2026-06-08,itviec,AWS,5
2026-06-08,itviec,Azure,2
2026-06-08,itviec,C#,1
2026-06-08,itviec,C++,1
2026-06-08,itviec,CI/CD,1
2026-06-08,itviec,Computer Vision,1
2026-06-08,itviec,Data Engineer,1
2026-06-08,itviec,Database,1
2026-06-08,itviec,Databricks,1
2026-06-08,itviec,DevOps,1
2026-06-08,itviec,Docker,4
2026-06-08,itviec,English,1
2026-06-08,itviec,FastAPI,1
2026-06-08,itviec,Firewall,1
2026-06-08,itviec,Fresher Accepted,1
2026-06-08,itviec,GCP,3
2026-06-08,itviec,Git,1
2026-06-08,itviec,Go,1
2026-06-08,itviec,Java,2
2026-06-08,itviec,JavaScript,2
2026-06-08,itviec,Kubernetes,4
2026-06-08,itviec,LLM,1
2026-06-08,itviec,Linux,2
2026-06-08,itviec,MLOps,1
2026-06-08,itviec,Machine Learning,2
2026-06-08,itviec,Microservices,1
2026-06-08,itviec,Networking,1
2026-06-08,itviec,Node.js,2
2026-06-08,itviec,OCR,1
2026-06-08,itviec,PostgreSQL,2
2026-06-08,itviec,PyTorch,1
2026-06-08,itviec,Python,8
2026-06-08,itviec,Redis,3
2026-06-08,itviec,Robotic Process Automation (RPA),1
2026-06-08,itviec,SQL,5
2026-06-08,itviec,Solution Architecture,1
2026-06-08,itviec,Spring,1
2026-06-08,itviec,Spring Boot,1
2026-06-08,itviec,System Admin,2
2026-06-08,itviec,System Architecture,1
2026-06-08,itviec,TypeScript,1
2026-06-08,topcv,(unknown),1
2026-06-08,topcv,Java,1
2026-06-08,topcv,MySQL,1
2026-06-08,topcv,SQL,1
2026-06-15,itviec,.NET,7
2026-06-15,itviec,AI,14
2026-06-15,itviec,API,1
2026-06-15,itviec,AWS,11
2026-06-15,itviec,Android,1
2026-06-15,itviec,Angular,2
2026-06-15,itviec,Appium,1
2026-06-15,itviec,Automation Test,1
2026-06-15,itviec,Azure,11
2026-06-15,itviec,Bash Shell,1
2026-06-15,itviec,Big Data,1
2026-06-15,itviec,Business Analysis,1
2026-06-15,itviec,Business Intelligence,1
2026-06-15,itviec,C language,1
2026-06-15,itviec,C#,5
2026-06-15,itviec,C++,7
2026-06-15,itviec,CI/CD,1
2026-06-15,itviec,Cloud,4
2026-06-15,itviec,Computer Vision,3
2026-06-15,itviec,Cybersecurity,1
2026-06-15,itviec,Data Analysis,1
2026-06-15,itviec,Data Engineer,4
2026-06-15,itviec,Data Science,2
2026-06-15,itviec,Data Warehousing,1
2026-06-15,itviec,Data modeling,1
2026-06-15,itviec,Database,2
2026-06-15,itviec,Deep Learning,1
2026-06-15,itviec,DevOps,5
2026-06-15,itviec,Docker,11
2026-06-15,itviec,ERP,1
2026-06-15,itviec,ETL,2
2026-06-15,itviec,Embedded,1
2026-06-15,itviec,Embedded Android,1
2026-06-15,itviec,Embedded C,1
2026-06-15,itviec,English,8
2026-06-15,itviec,FastAPI,2
2026-06-15,itviec,Fresher Accepted,2
2026-06-15,itviec,Fullstack,1
2026-06-15,itviec,GCP,9
2026-06-15,itviec,GitLab CI,1
2026-06-15,itviec,Go,4
2026-06-15,itviec,Google BigQuery,1
2026-06-15,itviec,Hardware Troubleshooting,1
2026-06-15,itviec,Internship Accepted,2
2026-06-15,itviec,JSON,1
2026-06-15,itviec,Japanese,2
2026-06-15,itviec,Java,3
2026-06-15,itviec,JavaScript,5
2026-06-15,itviec,Jira,1
2026-06-15,itviec,Kubernetes,4
2026-06-15,itviec,LLM,3
2026-06-15,itviec,Linux,2
2026-06-15,itviec,MLOps,2
2026-06-15,itviec,Machine Learning,8
2026-06-15,itviec,MongoDB,2
2026-06-15,itviec,MySQL,1
2026-06-15,itviec,NLP,3
2026-06-15,itviec,NextJS,2
2026-06-15,itviec,NoSQL,1
2026-06-15,itviec,Node.js,3
2026-06-15,itviec,OOP,2
2026-06-15,itviec,Odoo,1
2026-06-15,itviec,OpenCV,1
2026-06-15,itviec,Playwright,2
2026-06-15,itviec,PostgreSQL,6
2026-06-15,itviec,PyTorch,2
2026-06-15,itviec,Python,34
2026-06-15,itviec,QA,4
2026-06-15,itviec,QA QC,1
2026-06-15,itviec,React,8
2026-06-15,itviec,Redis,1
2026-06-15,itviec,Robot Framework,1
2026-06-15,itviec,SQL,10
2026-06-15,itviec,Security,2
2026-06-15,itviec,Selenium,1
2026-06-15,itviec,Solution Architecture,1
2026-06-15,itviec,System Admin,1
2026-06-15,itviec,Team Management,1
2026-06-15,itviec,TensorFlow,3
2026-06-15,itviec,Tester,2
2026-06-15,itviec,TypeScript,4
2026-06-15,itviec,VMware,1
2026-06-15,itviec,Windows,1
2026-06-15,topcv,(unknown),6
2026-06-15,topcv,.NET,3
2026-06-15,topcv,A/B Testing,1
