week_start,source,skill,experience_count,experience_min_median,experience_min_min,experience_min_max
2026-05-25,itviec,AI,1,4.0,4.0,4.0
2026-05-25,itviec,AWS,2,3.5,3.0,4.0
2026-05-25,itviec,Azure,2,3.5,3.0,4.0
2026-05-25,itviec,Cloud,2,3.5,3.0,4.0
2026-05-25,itviec,Data Engineer,1,3.0,3.0,3.0
2026-05-25,itviec,Database,1,4.0,4.0,4.0
2026-05-25,itviec,DevOps,1,3.0,3.0,3.0
2026-05-25,itviec,Docker,1,4.0,4.0,4.0
2026-05-25,itviec,GCP,2,3.5,3.0,4.0
2026-05-25,itviec,Go,1,3.0,3.0,3.0
2026-05-25,itviec,JavaScript,1,3.0,3.0,3.0
2026-05-25,itviec,Kubernetes,1,4.0,4.0,4.0
2026-05-25,itviec,MLOps,1,4.0,4.0,4.0
2026-05-25,itviec,Machine Learning,1,4.0,4.0,4.0
2026-05-25,itviec,Python,2,3.5,3.0,4.0
2026-05-25,itviec,React,1,3.0,3.0,3.0
2026-05-25,itviec,SQL,2,3.5,3.0,4.0
2026-05-25,itviec,TypeScript,1,3.0,3.0,3.0
2026-05-25,topcv,Kỹ Năng Triển Khai Phần Mềm,1,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng giao tiếp,1,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng giải quyết vấn đề,1,1.0,1.0,1.0
2026-05-25,topcv,Kỹ năng làm việc nhóm,1,1.0,1.0,1.0
2026-06-01,itviec,.NET,1,1.0,1.0,1.0
2026-06-01,itviec,AI,5,1.0,1.0,2.0
2026-06-01,itviec,API,1,2.0,2.0,2.0
2026-06-01,itviec,AWS,7,2.0,1.0,7.0
2026-06-01,itviec,Angular,1,1.0,1.0,1.0
2026-06-01,itviec,Apache Airflow,1,7.0,7.0,7.0
2026-06-01,itviec,Automation Test,1,2.0,2.0,2.0
2026-06-01,itviec,Azure,5,2.0,1.0,7.0
2026-06-01,itviec,C#,1,1.0,1.0,1.0
2026-06-01,itviec,CI/CD,1,2.0,2.0,2.0
2026-06-01,itviec,Cloud,2,4.5,2.0,7.0
2026-06-01,itviec,Data Engineer,2,7.0,7.0,7.0
2026-06-01,itviec,Data Science,2,1.0,1.0,1.0
2026-06-01,itviec,Data modeling,1,7.0,7.0,7.0
2026-06-01,itviec,Database,2,4.0,1.0,7.0
2026-06-01,itviec,DevOps,2,2.0,2.0,2.0
2026-06-01,itviec,Docker,4,4.5,1.0,7.0
2026-06-01,itviec,ELT,1,7.0,7.0,7.0
2026-06-01,itviec,Fresher Accepted,1,1.0,1.0,1.0
2026-06-01,itviec,Fullstack,1,7.0,7.0,7.0
2026-06-01,itviec,GCP,3,2.0,1.0,7.0
2026-06-01,itviec,Git,1,2.0,2.0,2.0
2026-06-01,itviec,Go,1,2.0,2.0,2.0
2026-06-01,itviec,Java,2,2.0,2.0,2.0
2026-06-01,itviec,JavaScript,3,1.0,1.0,2.0
2026-06-01,itviec,Kubernetes,3,7.0,2.0,7.0
2026-06-01,itviec,LLM,1,1.0,1.0,1.0
2026-06-01,itviec,Leadership,1,7.0,7.0,7.0
2026-06-01,itviec,Linux,1,2.0,2.0,2.0
2026-06-01,itviec,Machine Learning,2,1.0,1.0,1.0
2026-06-01,itviec,MySQL,1,2.0,2.0,2.0
2026-06-01,itviec,NextJS,1,7.0,7.0,7.0
2026-06-01,itviec,Node.js,3,2.0,2.0,7.0
2026-06-01,itviec,PostgreSQL,1,2.0,2.0,2.0
2026-06-01,itviec,Prompt Engineering,1,1.0,1.0,1.0
2026-06-01,itviec,Python,10,2.0,1.0,7.0
2026-06-01,itviec,QA QC,1,2.0,2.0,2.0
2026-06-01,itviec,React,3,1.0,1.0,7.0
2026-06-01,itviec,Robot Framework,1,2.0,2.0,2.0
2026-06-01,itviec,SQL,5,7.0,1.0,7.0
2026-06-01,itviec,Selenium,1,2.0,2.0,2.0
2026-06-01,itviec,System Admin,1,2.0,2.0,2.0
2026-06-01,itviec,Terraform,1,2.0,2.0,2.0
2026-06-01,itviec,Tester,1,2.0,2.0,2.0
2026-06-01,itviec,TypeScript,2,4.0,1.0,7.0
2026-06-01,itviec,Vue,2,1.0,1.0,1.0
2026-06-01,topcv,(unknown),2,3.5,3.0,4.0
2026-06-01,topcv,AI solutions,1,3.0,3.0,3.0
2026-06-01,topcv,Artificial Intelligence,1,3.0,3.0,3.0
2026-06-01,topcv,B2B Sales,1,3.0,3.0,3.0
2026-06-01,topcv,Bán Hàng,1,3.0,3.0,3.0
2026-06-01,topcv,Enterprise sales,1,3.0,3.0,3.0
2026-06-01,topcv,Figma,1,2.0,2.0,2.0
2026-06-01,topcv,Gamification,1,2.0,2.0,2.0
2026-06-01,topcv,Giao tiếp tốt,1,3.0,3.0,3.0
2026-06-01,topcv,Giải pháp B2B,1,3.0,3.0,3.0
2026-06-01,topcv,IT Solution,1,3.0,3.0,3.0
2026-06-01,topcv,Kỹ Năng Phân Tích Yêu Cầu,1,2.0,2.0,2.0
2026-06-01,topcv,Phần mềm AI,1,3.0,3.0,3.0
2026-06-01,topcv,Quản Lý Dự Án,1,2.0,2.0,2.0
