week_start,source,skill,job_count
2026-05-04,topcv,(unknown),1
2026-05-11,itviec,A/B testing,1
2026-05-11,itviec,AWS,1
2026-05-11,itviec,Azure,1
2026-05-11,itviec,Data Science,1
2026-05-11,itviec,Docker,1
2026-05-11,itviec,GCP,1
2026-05-11,itviec,Information Security,1
2026-05-11,itviec,MLOps,1
2026-05-11,itviec,Machine Learning,1
2026-05-11,itviec,Networking,1
2026-05-11,itviec,Predictive models,1
2026-05-11,itviec,Python,1
2026-05-11,itviec,System Admin,1
2026-05-11,itviec,VMware,1
2026-05-11,itviec,Windows Server,1
2026-05-11,topcv,(unknown),1
2026-05-11,topcv,Khả Năng Chịu Áp Lực,1
2026-05-11,topcv,Kinh Nghiệm Làm Việc Với Các Công Cụ Hỗ Trợ Từ Xa,1
2026-05-11,topcv,Kinh Nghiệm Làm Việc Với Hệ Thống Ticketing,1
2026-05-11,topcv,Kiến Thức Về Các Hệ Điều Hành (windows,1
2026-05-11,topcv,Kiến Thức Về Mạng Máy Tính,1
2026-05-11,topcv,Kiến Thức Về Phần Cứng Và Phần Mềm Máy Tính,1
2026-05-11,topcv,Kỹ Năng Chẩn Đoán Và Khắc Phục Sự Cố,1
2026-05-11,topcv,Kỹ Năng Ngoại Ngữ (tiếng Anh),1
2026-05-11,topcv,Kỹ năng giao tiếp,1
2026-05-11,topcv,Kỹ năng làm việc nhóm,1
2026-05-11,topcv,Linux),1
2026-05-11,topcv,Macos,1
2026-05-11,topcv,kỹ năng phân tích,1
2026-05-11,topcv,kỹ năng quản lý thời gian,1
2026-05-18,itviec,Big Data,1
2026-05-18,itviec,Business Intelligence,1
2026-05-18,itviec,Data Analysis,1
2026-05-18,itviec,Data Engineer,1
2026-05-18,itviec,Data Warehousing,1
2026-05-18,itviec,Git,1
2026-05-18,itviec,SQL,1
2026-05-18,topcv,(unknown),1
2026-05-18,topcv,Cam Software),1
2026-05-18,topcv,Kiểm Tra Chất Lượng Sản Phẩm,1
2026-05-18,topcv,Lập Trình Cnc (g Code,1
2026-05-18,topcv,React,1
2026-05-18,topcv,Springboot,1
2026-05-18,topcv,Sử Dụng Các Dụng Cụ Đo Lường,1
2026-05-18,topcv,Vận Hành Máy Phay Cnc,1
2026-05-18,topcv,kafka,1
2026-05-18,topcv,Đọc Và Hiểu Bản Vẽ Kỹ Thuật,1
2026-05-25,itviec,.NET,5
2026-05-25,itviec,.Net Core,1
2026-05-25,itviec,A/B testing,1
2026-05-25,itviec,AI,14
2026-05-25,itviec,API,6
2026-05-25,itviec,ASP.NET,2
2026-05-25,itviec,AWS,20
2026-05-25,itviec,AWS CloudFormation,1
2026-05-25,itviec,AWS Lambda,1
2026-05-25,itviec,Agile,4
2026-05-25,itviec,Algorithms,1
2026-05-25,itviec,Android,4
2026-05-25,itviec,Angular,5
2026-05-25,itviec,Automation Test,3
2026-05-25,itviec,Azure,11
2026-05-25,itviec,Big Data,2
2026-05-25,itviec,Blockchain,1
2026-05-25,itviec,Bridge Engineer,1
2026-05-25,itviec,Business Analysis,4
2026-05-25,itviec,Business Intelligence,1
2026-05-25,itviec,C#,4
2026-05-25,itviec,C++,1
2026-05-25,itviec,CSS,2
2026-05-25,itviec,CSS 3,2
2026-05-25,itviec,Chinese,1
2026-05-25,itviec,Clean Architecture,2
2026-05-25,itviec,Cloud,8
2026-05-25,itviec,Cloud-native Architecture,1
2026-05-25,itviec,Computer Vision,2
2026-05-25,itviec,Crystal,1
2026-05-25,itviec,Cybersecurity,1
2026-05-25,itviec,Data Analysis,5
2026-05-25,itviec,Data Engineer,5
2026-05-25,itviec,Data Science,4
2026-05-25,itviec,Database,2
2026-05-25,itviec,Databricks,1
2026-05-25,itviec,DevOps,8
2026-05-25,itviec,DevSecOps,1
2026-05-25,itviec,Docker,12
2026-05-25,itviec,ERP,4
2026-05-25,itviec,ETL,2
2026-05-25,itviec,English,12
2026-05-25,itviec,FastAPI,1
2026-05-25,itviec,Firewall,2
2026-05-25,itviec,Flutter,3
2026-05-25,itviec,Fullstack,2
2026-05-25,itviec,GCP,8
2026-05-25,itviec,Generative AI,1
2026-05-25,itviec,Git,2
2026-05-25,itviec,Go,7
2026-05-25,itviec,HTML,2
2026-05-25,itviec,HTML5,2
2026-05-25,itviec,ISO 27001,1
2026-05-25,itviec,Incident Response,2
2026-05-25,itviec,Information Security,1
2026-05-25,itviec,JSON,1
2026-05-25,itviec,JUnit,1
2026-05-25,itviec,Japanese IT Communication,1
2026-05-25,itviec,Java,15
2026-05-25,itviec,JavaScript,11
2026-05-25,itviec,Kafka,1
2026-05-25,itviec,Kotlin,4
2026-05-25,itviec,Kubernetes,11
2026-05-25,itviec,LLM,5
2026-05-25,itviec,Leadership,1
2026-05-25,itviec,Linux,1
2026-05-25,itviec,MLOps,2
2026-05-25,itviec,MVVM,2
2026-05-25,itviec,Machine Learning,5
2026-05-25,itviec,Microservices,5
2026-05-25,itviec,Microsoft Azure SQL Database,1
2026-05-25,itviec,Microsoft SQL Server,1
2026-05-25,itviec,MobX,1
2026-05-25,itviec,MongoDB,2
2026-05-25,itviec,MySQL,8
2026-05-25,itviec,NLP,1
2026-05-25,itviec,NestJS,1
2026-05-25,itviec,Networking,3
2026-05-25,itviec,NextJS,1
2026-05-25,itviec,Node.js,7
2026-05-25,itviec,NumPy,1
2026-05-25,itviec,OCR,1
2026-05-25,itviec,OOP,2
2026-05-25,itviec,Odoo,1
2026-05-25,itviec,Oracle,3
2026-05-25,itviec,PCI DSS,1
2026-05-25,itviec,PHP,2
2026-05-25,itviec,Pandas,1
2026-05-25,itviec,Playwright,1
2026-05-25,itviec,PostgreSQL,11
2026-05-25,itviec,Power BI,2
2026-05-25,itviec,Presale,1
2026-05-25,itviec,Product Design,1
2026-05-25,itviec,Product Management,1
2026-05-25,itviec,Product Owner,2
2026-05-25,itviec,Project Management,3
2026-05-25,itviec,PyTorch,3
2026-05-25,itviec,Python,19
2026-05-25,itviec,QA,4
2026-05-25,itviec,QA QC,2
2026-05-25,itviec,R,1
2026-05-25,itviec,React,11
2026-05-25,itviec,React Native,1
2026-05-25,itviec,Redis,6
2026-05-25,itviec,Redux,2
2026-05-25,itviec,Risk Assessment / BCP,1
2026-05-25,itviec,Risk Management,3
2026-05-25,itviec,Robot Framework,1
2026-05-25,itviec,Ruby,1
2026-05-25,itviec,Ruby on Rails,2
2026-05-25,itviec,SAP,1
2026-05-25,itviec,SIEM,2
2026-05-25,itviec,SQL,22
2026-05-25,itviec,Scala,1
2026-05-25,itviec,Scrum,1
2026-05-25,itviec,Security,3
2026-05-25,itviec,Selenium,1
2026-05-25,itviec,Smart contracts,1
2026-05-25,itviec,Software Architecture,2
2026-05-25,itviec,Solution Architecture,2
2026-05-25,itviec,Splunk,1
2026-05-25,itviec,Spring,4
2026-05-25,itviec,Spring Boot,2
2026-05-25,itviec,Swift,3
2026-05-25,itviec,System Admin,4
2026-05-25,itviec,System Architecture,2
2026-05-25,itviec,Tailwind,1
2026-05-25,itviec,Team Management,5
2026-05-25,itviec,TensorFlow,2
2026-05-25,itviec,Tester,1
2026-05-25,itviec,TypeScript,6
2026-05-25,itviec,UI-UX,3
2026-05-25,itviec,VBA,1
2026-05-25,itviec,Vue,5
2026-05-25,itviec,VueJS,1
2026-05-25,itviec,Web API,1
2026-05-25,itviec,Web3.js,1
2026-05-25,itviec,iOS,4
2026-05-25,itviec,scikit-learn,1
2026-05-25,topcv,(unknown),2
2026-05-25,topcv,AI Vibe-coding,1
2026-05-25,topcv,Am hiểu công nghệ thông tin,1
2026-05-25,topcv,Bằng tốt nghiệp loại Khá hoặc Giỏi,1
2026-05-25,topcv,Clean code structure,1
2026-05-25,topcv,Component design,1
2026-05-25,topcv,DevSecOps,1
2026-05-25,topcv,Giao tiếp,1
2026-05-25,topcv,GitHub Copilot,1
2026-05-25,topcv,Hiểu Biết Về An Ninh Mạng (cyber Security),1
2026-05-25,topcv,Kinh Nghiệm Bán Hàng Tư Vấn Giải Pháp Cntt (cyber Security),1
2026-05-25,topcv,Kinh nghiệm dự án công nghệ thực tế,1
