week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-05-04,topcv,(unknown),VND,1,15000000,15000000,15000000
2026-05-11,topcv,(unknown),VND,1,42500000,42500000,42500000
2026-05-18,itviec,Big Data,USD,1,2500,2500,2500
2026-05-18,itviec,Business Intelligence,USD,1,2500,2500,2500
2026-05-18,itviec,Data Analysis,USD,1,2500,2500,2500
2026-05-18,itviec,Data Engineer,USD,1,2500,2500,2500
2026-05-18,itviec,Data Warehousing,USD,1,2500,2500,2500
2026-05-18,itviec,Git,USD,1,2500,2500,2500
2026-05-18,itviec,SQL,USD,1,2500,2500,2500
2026-05-18,topcv,Cam Software),VND,1,16500000,16500000,16500000
2026-05-18,topcv,Kiểm Tra Chất Lượng Sản Phẩm,VND,1,16500000,16500000,16500000
2026-05-18,topcv,Lập Trình Cnc (g Code,VND,1,16500000,16500000,16500000
2026-05-18,topcv,React,VND,1,17500000,17500000,17500000
2026-05-18,topcv,Springboot,VND,1,17500000,17500000,17500000
2026-05-18,topcv,Sử Dụng Các Dụng Cụ Đo Lường,VND,1,16500000,16500000,16500000
2026-05-18,topcv,Vận Hành Máy Phay Cnc,VND,1,16500000,16500000,16500000
2026-05-18,topcv,kafka,VND,1,17500000,17500000,17500000
2026-05-18,topcv,Đọc Và Hiểu Bản Vẽ Kỹ Thuật,VND,1,16500000,16500000,16500000
2026-05-25,itviec,.NET,USD,1,1050,1050,1050
2026-05-25,itviec,.NET,VND,1,26000000,26000000,26000000
2026-05-25,itviec,.Net Core,USD,1,1050,1050,1050
2026-05-25,itviec,AI,USD,3,2000,1300,2750
2026-05-25,itviec,API,USD,2,1525,1050,2000
2026-05-25,itviec,API,VND,1,26000000,26000000,26000000
2026-05-25,itviec,AWS,USD,5,1500,650,2250
2026-05-25,itviec,AWS CloudFormation,USD,1,650,650,650
2026-05-25,itviec,AWS Lambda,USD,1,2250,2250,2250
2026-05-25,itviec,Agile,USD,2,1875,1500,2250
2026-05-25,itviec,Android,USD,1,3200,3200,3200
2026-05-25,itviec,Angular,USD,1,1050,1050,1050
2026-05-25,itviec,Automation Test,USD,4,1550,1100,2750
2026-05-25,itviec,Azure,USD,4,1500,650,2250
2026-05-25,itviec,Big Data,USD,1,2250,2250,2250
2026-05-25,itviec,Blockchain,USD,1,1250,1250,1250
2026-05-25,itviec,Business Analysis,USD,2,1875,1500,2250
2026-05-25,itviec,Business Intelligence,USD,1,2250,2250,2250
2026-05-25,itviec,C#,VND,1,26000000,26000000,26000000
2026-05-25,itviec,C++,USD,2,1100,1100,1100
2026-05-25,itviec,CSS,USD,1,2500,2500,2500
2026-05-25,itviec,Chinese,USD,1,2000,2000,2000
2026-05-25,itviec,Cloud,USD,5,1500,650,2250
2026-05-25,itviec,Data Analysis,USD,2,2125,2000,2250
2026-05-25,itviec,Data Engineer,USD,4,1875,1500,2250
2026-05-25,itviec,Database,USD,1,2250,2250,2250
2026-05-25,itviec,DevOps,USD,5,1500,650,2500
2026-05-25,itviec,Docker,USD,3,1300,1050,2500
2026-05-25,itviec,English,USD,3,1100,1050,1100
2026-05-25,itviec,Firewall,USD,1,1050,1050,1050
2026-05-25,itviec,Fullstack,USD,1,2500,2500,2500
2026-05-25,itviec,GCP,USD,2,1500,1500,1500
2026-05-25,itviec,Git,USD,1,1050,1050,1050
2026-05-25,itviec,Go,USD,3,1500,1500,2500
2026-05-25,itviec,HTML,USD,1,2500,2500,2500
2026-05-25,itviec,ISO 27001,USD,1,1100,1100,1100
2026-05-25,itviec,JUnit,USD,1,1300,1300,1300
2026-05-25,itviec,Java,USD,4,2125,1300,2500
2026-05-25,itviec,JavaScript,USD,5,1500,1300,2500
2026-05-25,itviec,Kotlin,USD,1,2250,2250,2250
2026-05-25,itviec,Leadership,USD,1,2750,2750,2750
2026-05-25,itviec,Linux,USD,1,2500,2500,2500
2026-05-25,itviec,Microservices,USD,1,2250,2250,2250
2026-05-25,itviec,Microsoft SQL Server,VND,1,26000000,26000000,26000000
2026-05-25,itviec,MobX,USD,1,1250,1250,1250
2026-05-25,itviec,MySQL,USD,1,1300,1300,1300
2026-05-25,itviec,Networking,USD,2,1075,1050,1100
2026-05-25,itviec,Node.js,USD,1,2500,2500,2500
2026-05-25,itviec,Node.js,VND,1,26000000,26000000,26000000
2026-05-25,itviec,NumPy,USD,1,1500,1500,1500
2026-05-25,itviec,OOP,VND,1,26000000,26000000,26000000
2026-05-25,itviec,PCI DSS,USD,1,1100,1100,1100
2026-05-25,itviec,Pandas,USD,1,1500,1500,1500
2026-05-25,itviec,Playwright,USD,1,2000,2000,2000
2026-05-25,itviec,PostgreSQL,USD,2,1900,1300,2500
2026-05-25,itviec,Product Design,USD,1,2000,2000,2000
