week_start,source,skill,salary_currency,salary_count,salary_midpoint_median,salary_midpoint_min,salary_midpoint_max
2026-05-25,itviec,AWS,USD,1,1500,1500,1500
2026-05-25,itviec,Automation Test,USD,1,1100,1100,1100
2026-05-25,itviec,Azure,USD,1,1500,1500,1500
2026-05-25,itviec,C++,USD,1,1100,1100,1100
2026-05-25,itviec,Cloud,USD,1,1500,1500,1500
2026-05-25,itviec,Data Engineer,USD,1,1500,1500,1500
2026-05-25,itviec,DevOps,USD,1,1500,1500,1500
2026-05-25,itviec,English,USD,1,1100,1100,1100
2026-05-25,itviec,GCP,USD,1,1500,1500,1500
2026-05-25,itviec,Go,USD,1,1500,1500,1500
2026-05-25,itviec,JavaScript,USD,1,1500,1500,1500
2026-05-25,itviec,Python,USD,2,1300,1100,1500
2026-05-25,itviec,React,USD,1,1500,1500,1500
2026-05-25,itviec,Robot Framework,USD,1,1100,1100,1100
2026-05-25,itviec,SQL,USD,1,1500,1500,1500
2026-05-25,itviec,Tester,USD,1,1100,1100,1100
2026-05-25,itviec,TypeScript,USD,1,1500,1500,1500
2026-05-25,topcv,Kỹ Năng Triển Khai Phần Mềm,VND,1,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng giao tiếp,VND,1,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng giải quyết vấn đề,VND,1,12000000,12000000,12000000
2026-05-25,topcv,Kỹ năng làm việc nhóm,VND,1,12000000,12000000,12000000
2026-06-01,itviec,AWS,USD,3,3250,1699,3250
2026-06-01,itviec,Apache Airflow,USD,1,3250,3250,3250
2026-06-01,itviec,DBT,USD,1,1699,1699,1699
2026-06-01,itviec,Data Analysis,USD,1,1699,1699,1699
2026-06-01,itviec,Data Engineer,USD,2,3250,3250,3250
2026-06-01,itviec,Data modeling,USD,1,3250,3250,3250
2026-06-01,itviec,Docker,USD,1,3250,3250,3250
2026-06-01,itviec,ELT,USD,1,3250,3250,3250
2026-06-01,itviec,Google BigQuery,USD,1,1699,1699,1699
2026-06-01,itviec,Kubernetes,USD,1,3250,3250,3250
2026-06-01,itviec,Leadership,USD,1,3250,3250,3250
2026-06-01,itviec,Python,USD,3,3250,1699,3250
2026-06-01,itviec,SQL,USD,3,3250,1699,3250
2026-06-01,itviec,Spark,USD,1,1699,1699,1699
2026-06-01,itviec,Tableau,USD,1,1699,1699,1699
2026-06-01,topcv,(unknown),VND,1,30000000,30000000,30000000
2026-06-01,topcv,AI solutions,VND,1,32500000,32500000,32500000
2026-06-01,topcv,AMPQ,VND,1,17500000,17500000,17500000
2026-06-01,topcv,AWS,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Agile,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Artificial Intelligence,VND,1,32500000,32500000,32500000
2026-06-01,topcv,B2B Sales,VND,1,32500000,32500000,32500000
2026-06-01,topcv,Bán Hàng,VND,1,32500000,32500000,32500000
2026-06-01,topcv,C#,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Devops,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Docker,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Enterprise sales,VND,1,32500000,32500000,32500000
2026-06-01,topcv,Fast API,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Figma,VND,1,16000000,16000000,16000000
2026-06-01,topcv,Gamification,VND,1,16000000,16000000,16000000
2026-06-01,topcv,Giao tiếp tốt,VND,1,32500000,32500000,32500000
2026-06-01,topcv,Git,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Giải pháp B2B,VND,1,32500000,32500000,32500000
2026-06-01,topcv,Google Cloud Platform,VND,1,17500000,17500000,17500000
2026-06-01,topcv,IT Solution,VND,1,32500000,32500000,32500000
2026-06-01,topcv,Javascript,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Kubernetes,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Kỹ Năng Phân Tích Yêu Cầu,VND,1,16000000,16000000,16000000
2026-06-01,topcv,Linux,VND,1,17500000,17500000,17500000
2026-06-01,topcv,MySQL,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Nestjs,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Node.js,VND,1,17500000,17500000,17500000
2026-06-01,topcv,Phần mềm AI,VND,1,32500000,32500000,32500000
